1687920.6198,0.5710,0.3611,0.0244,0.6539,0.4734,0.5710,0.4636,0.5270,0.5270,0.4782,0.5026,0.4782,0.5466,0.0244,0.4294,0.5319,0.5270,0.5270,0.0390,0.2830,0.5075,0.5173,0.1171,0.4978,0.0293,0.5710,0.2879,0.4782,0.3465
1852360.4978,0.0049,0.4246,0.1074,0.0049,0.3318,0.0049,0.4587,0.0634,0.2489,0.0976,0.0488,0.1513,0.0000,0.0439,0.0488,0.0830,0.0146,0.0098,0.0000,0.3416,0.4880,0.5954,0.0000,0.2733,0.4929,0.0146,0.0098,0.4392,0.0586
2016440.2586,0.2196,0.5417,0.6539,0.5514,0.1464,0.5807,0.5758,0.4782,0.5905,0.6100,0.5270,0.5661,0.0293,0.5661,0.3026,0.2001,0.5075,0.6002,0.5758,0.0586,0.5075,0.5758,0.4636,0.5954,0.5758,0.2489,0.5710,0.0244,0.5905
2180540.2489,0.0098,0.3758,0.4343,0.0098,0.0634,0.4929,0.5124,0.0244,0.4880,0.0098,0.4685,0.4929,0.5222,0.4343,0.5319,0.3709,0.4294,0.4392,0.4392,0.5026,0.5222,0.0098,0.1171,0.0000,0.3806,0.4636,0.0146,0.0195,0.3709
2394620.1220,0.4880,0.6588,0.6881,0.7027,0.4002,0.7027,0.4050,0.0195,0.0488,0.5856,0.5612,0.4490,0.5661,0.6100,0.5563,0.6246,0.5270,0.6149,0.5905,0.5563,0.0586,0.5222,0.6442,0.5563,0.3904,0.6100,0.0488,0.5563,0.1269
2508710.2928,0.1415,0.4538,0.2440,0.0098,0.3806,0.3855,0.0098,0.5270,0.4880,0.2489,0.0732,0.0976,0.0000,0.0049,0.4636,0.4929,0.4636,0.4343,0.4392,0.1562,0.0244,0.0049,0.0098,0.0244,0.4050,0.5466,0.0000,0.0781,0.4685
2722790.6783,0.6881,0.7076,0.6539,0.5124,0.5661,0.0976,0.5905,0.5661,0.5807,0.7174,0.4880,0.5612,0.4880,0.0293,0.2830,0.5758,0.6442,0.0293,0.4392,0.6051,0.7418,0.5466,0.6100,0.3367,0.6051,0.4685,0.6051,0.4734,0.5954
3263300.1708,0.6490,0.6588,0.6734,0.0488,0.5075,0.5124,0.5661,0.3123,0.2245,0.4880,0.5417,0.5270,0.4978,0.4929,0.1366,0.2635,0.5417,0.5612,0.5710,0.1757,0.0195,0.4294,0.5417,0.2586,0.3123,0.5954,0.3221,0.3465,0.5661
3477380.4587,0.0000,0.5954,0.1610,0.1562,0.3709,0.4294,0.1854,0.4636,0.6344,0.0146,0.3953,0.4782,0.4929,0.4294,0.5368,0.4978,0.4538,0.3806,0.3953,0.4148,0.5075,0.1562,0.0195,0.0488,0.0000,0.3611,0.4880,0.0342,0.0000
3691450.7466,0.6881,0.7564,0.5612,0.6246,0.7027,0.6588,0.6149,0.2684,0.3514,0.5026,0.5661,0.0195,0.5661,0.6051,0.0390,0.1952,0.3318,0.0390,0.3123,0.6393,0.6051,0.0244,0.6295,0.5954,0.4636,0.6002,0.2733,0.6100,0.1415
3905560.4441,0.4294,0.4441,0.2342,0.0000,0.6100,0.4831,0.1903,0.0342,0.7027,0.4831,0.0049,0.0146,0.1513,0.0293,0.0000,0.0195,0.0293,0.0732,0.0293,0.0244,0.0000,0.0146,0.3904,0.4246,0.5905,0.0244,0.0146,0.5026,0.5124
4119640.7271,0.7076,0.6978,0.6490,0.3172,0.6783,0.7418,0.7027,0.6637,0.7125,0.7027,0.7125,0.5075,0.6783,0.6246,0.3806,0.0293,0.0634,0.0342,0.4636,0.6393,0.6295,0.0244,0.6783,0.6539,0.4538,0.6344,0.1659,0.6588,0.0586
6734080.5514,0.6490,0.5319,0.5563,0.7418,0.7710,0.7662,0.2586,0.0244,0.1220,0.6442,0.0244,0.5758,0.0342,0.3270,0.6051,0.5661,0.6344,0.0146,0.0244,0.3806,0.5856,0.5856,0.5466,0.0000,0.0293,0.5222,0.5222,0.0244,0.0195
6948150.6783,0.3611,0.3709,0.7418,0.8101,0.6295,0.6051,0.4978,0.6246,0.6442,0.6344,0.3514,0.6295,0.2391,0.6539,0.6344,0.6246,0.6978,0.6588,0.6539,0.7710,0.2196,0.6051,0.6588,0.6149,0.6783,0.2782,0.7027,0.0244,0.6734
7162220.6588,0.6100,0.6198,0.3904,0.3758,0.0586,0.2586,0.6539,0.7418,0.6539,0.3709,0.5124,0.5075,0.0244,0.5270,0.5466,0.6198,0.5954,0.6051,0.6442,0.2830,0.0244,0.0146,0.3660,0.5905,0.5563,0.0342,0.0049,0.0000,0.2928
7376330.7710,0.6978,0.6344,0.2928,0.6344,0.5270,0.6149,0.6051,0.1122,0.3026,0.0342,0.5563,0.6393,0.5710,0.3465,0.6246,0.6149,0.6930,0.6734,0.6344,0.3221,0.4490,0.6881,0.7271,0.5466,0.6734,0.0537,0.6344,0.0830,0.6637
7540390.5856,0.6344,0.5710,0.5807,0.6442,0.6198,0.6295,0.5270,0.0195,0.0342,0.3514,0.7174,0.0146,0.6637,0.0098,0.5856,0.5954,0.5222,0.5710,0.5466,0.4978,0.6100,0.2733,0.0049,0.2830,0.0000,0.2489,0.4782,0.5075,0.0342
7804500.7906,0.6881,0.6686,0.1415,0.8003,0.4831,0.7954,0.6344,0.3172,0.7564,0.0293,0.6588,0.6539,0.4929,0.7174,0.6246,0.6002,0.6978,0.6881,0.6637,0.6490,0.0195,0.6734,0.6832,0.0488,0.6149,0.3318,0.6978,0.6588,0.5124
8018580.1074,0.0878,0.1220,0.0195,0.0244,0.1952,0.7125,0.6490,0.6246,0.3953,0.2342,0.0146,0.5807,0.0049,0.0146,0.0000,0.0195,0.0244,0.0049,0.1074,0.0293,0.0000,0.0146,0.3953,0.4978,0.6002,0.0342,0.0098,0.3758,0.4978
8232690.7027,0.6051,0.0732,0.7466,0.6149,0.6149,0.6588,0.6490,0.6295,0.6246,0.6344,0.0390,0.6002,0.1122,0.6393,0.5563,0.4734,0.4002,0.5417,0.6734,0.6832,0.6832,0.0390,0.6588,0.6686,0.4294,0.6246,0.0146,0.6588,0.2538
8446770.6344,0.7320,0.4246,0.1854,0.4978,0.0390,0.4831,0.6490,0.7222,0.6637,0.6881,0.5222,0.6100,0.5075,0.5173,0.6539,0.4099,0.2342,0.2147,0.1464,0.0244,0.0098,0.0683,0.4685,0.4929,0.3318,0.0049,0.0439,0.0146,0.4050
8660840.4294,0.7808,0.7466,0.7662,0.1074,0.6588,0.6539,0.6539,0.5758,0.3611,0.5954,0.6393,0.4294,0.5758,0.0293,0.6442,0.6783,0.6783,0.6246,0.6442,0.6930,0.6930,0.1708,0.6588,0.6881,0.0244,0.6442,0.5075,0.6686,0.6442
